2024-01-17 19:42:50.139 [info] Log level: Info
2024-01-17 19:42:50.139 [info] Validating found git in: "git"
2024-01-17 19:42:50.139 [info] Using git "2.43.0" from "git"
2024-01-17 19:42:50.139 [info] > git rev-parse --show-toplevel [13ms]
2024-01-17 19:42:50.140 [info] > git rev-parse --show-toplevel [4ms]
2024-01-17 19:42:50.151 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:42:50.167 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:42:50.178 [info] > git rev-parse --show-toplevel [1ms]
2024-01-17 19:42:50.191 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 19:42:51.666 [info] > git rev-parse --show-toplevel [135ms]
2024-01-17 19:42:51.705 [info] > git rev-parse --show-toplevel [8ms]
2024-01-17 19:42:51.794 [info] > git rev-parse --show-toplevel [35ms]
2024-01-17 19:42:52.076 [info] > git rev-parse --show-toplevel [120ms]
2024-01-18 10:45:12.006 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 10:45:12.356 [info] > git rev-parse --show-toplevel [74ms]
2024-01-18 10:45:12.390 [info] > git rev-parse --show-toplevel [10ms]
2024-01-18 10:45:14.868 [info] > git rev-parse --show-toplevel [17ms]
2024-01-18 10:45:14.894 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 10:45:14.922 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:15.241 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 10:45:15.293 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 10:45:15.323 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:15.530 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:15.648 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 10:45:15.696 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:15.783 [info] > git rev-parse --show-toplevel [20ms]
2024-01-18 10:45:15.816 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 10:45:15.847 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:16.162 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 10:45:16.224 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 10:45:16.251 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:16.421 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:16.459 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:16.485 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 10:45:16.697 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:16.781 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 10:45:16.850 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 10:45:16.979 [info] > git rev-parse --show-toplevel [23ms]
2024-01-18 10:45:17.014 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 10:45:17.042 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:17.240 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:45:17.296 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:17.330 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:17.491 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 10:45:17.542 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 10:45:17.574 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 10:51:20.718 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 10:51:20.813 [info] > git rev-parse --show-toplevel [9ms]
2024-01-18 10:51:20.853 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 10:51:30.276 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:03.374 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:03.445 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 11:02:03.474 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:03.935 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:04.317 [info] > git rev-parse --show-toplevel [24ms]
2024-01-18 11:02:04.697 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:04.884 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:04.986 [info] > git rev-parse --show-toplevel [15ms]
2024-01-18 11:02:05.025 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 11:02:05.222 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:05.306 [info] > git rev-parse --show-toplevel [8ms]
2024-01-18 11:02:05.337 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 11:02:05.893 [info] > git rev-parse --show-toplevel [12ms]
2024-01-18 11:02:05.923 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 11:02:05.952 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.065 [info] > git rev-parse --show-toplevel [11ms]
2024-01-18 11:02:06.090 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.114 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.428 [info] > git rev-parse --show-toplevel [11ms]
2024-01-18 11:02:06.457 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 11:02:06.481 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.621 [info] > git rev-parse --show-toplevel [17ms]
2024-01-18 11:02:06.653 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.681 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:06.768 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 11:02:06.865 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 11:02:06.891 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 11:02:07.106 [info] > git rev-parse --show-toplevel [13ms]
2024-01-18 11:02:07.134 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 11:02:07.157 [info] > git rev-parse --show-toplevel [2ms]
2024-01-18 11:02:07.283 [info] > git rev-parse --show-toplevel [11ms]
2024-01-18 11:02:07.315 [info] > git rev-parse --show-toplevel [6ms]
2024-01-18 11:02:07.338 [info] > git rev-parse --show-toplevel [1ms]
2024-01-18 11:02:07.572 [info] > git rev-parse --show-toplevel [46ms]
2024-01-18 11:02:07.615 [info] > git rev-parse --show-toplevel [5ms]
2024-01-18 11:02:07.648 [info] > git rev-parse --show-toplevel [3ms]
2024-01-18 11:02:07.865 [info] > git rev-parse --show-toplevel [4ms]
2024-01-18 11:02:07.914 [info] > git rev-parse --show-toplevel [7ms]
2024-01-18 11:02:07.943 [info] > git rev-parse --show-toplevel [3ms]
