2024-01-17 19:09:52.662 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'ms-python.python' wants API proposal 'registerIssueDataProvider' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2024-01-17 19:09:53.245 [info] Started local extension host with pid 8036.
2024-01-17 19:09:53.317 [warning] [stylelint.vscode-stylelint]: Cannot register 'stylelint.enable'. This property is already registered.
2024-01-17 19:09:53.317 [warning] [stylelint.vscode-stylelint]: Cannot register 'stylelint.config'. This property is already registered.
2024-01-17 19:09:54.288 [error] Unable to write to User Settings because appworks.materialSources is not a registered configuration.: CodeExpectedError: Unable to write to User Settings because appworks.materialSources is not a registered configuration.
    at l.y (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:55124)
    at l.E (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:57641)
    at l.n (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52237)
    at Object.factory (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52137)
    at T.h (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17315)
    at vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17226
    at new Promise (<anonymous>)
    at T.queue (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17164)
    at l.writeConfiguration (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52106)
    at F.Hb (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:77103)
    at async Promise.all (index 0)
    at async Object._ [as settled] (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:23305)
    at async F.updateValue (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:65070)
2024-01-17 19:09:55.979 [info] [perf] Render performance baseline is 145ms
2024-01-17 19:09:58.096 [error] [Extension Host] [ERROR] [default] [2024-01-17T17:09:58.093Z] Extension activation failed: "Thank you for using GitHub Copilot. Your subscription has ended. You are currently logged in as cyb1ove."
2024-01-17 19:11:21.871 [error] [Extension Host] grep: /usr/bin/groupmems: Permission denied
grep: /usr/bin/umount.nfs4: Permission denied
grep: /usr/bin/mount.nfs: Permission denied
grep: /usr/bin/umount.nfs: Permission denied
grep: /usr/bin/mount.nfs4: Permission denied
grep: /usr/bin/floorp: No such file or directory
2024-01-17 19:12:33.006 [error] [Extension Host] 2152D4F733932B8AD439FBBF42E6D534 !== E5254D5A25A61AD24D0129FDA23ACA4D
2024-01-17 19:13:03.013 [error] [Extension Host] E5254D5A25A61AD24D0129FDA23ACA4D !== 8D854D9B7196828BE51B11336EA803DA
2024-01-17 19:13:33.039 [error] [Extension Host] 8D854D9B7196828BE51B11336EA803DA !== 94581E624242B5B1C75AA48F65847259
2024-01-17 19:14:03.065 [error] [Extension Host] 94581E624242B5B1C75AA48F65847259 !== 6C01DFEC5192E364DCB610215C4619DA
2024-01-17 19:14:33.091 [error] [Extension Host] 6C01DFEC5192E364DCB610215C4619DA !== 6779F8C9DC6F9FEB1C2004A45A451A42
2024-01-17 19:15:03.118 [error] [Extension Host] 6779F8C9DC6F9FEB1C2004A45A451A42 !== A5625EDB73013F6EBF85BB73E698F458
2024-01-17 19:15:33.144 [error] [Extension Host] A5625EDB73013F6EBF85BB73E698F458 !== 8F8F6B9FADF25324B7C6514713600E6B
2024-01-17 19:16:03.171 [error] [Extension Host] 8F8F6B9FADF25324B7C6514713600E6B !== F4FE8D270A54DEDFDECCBB523100F33B
2024-01-17 19:16:33.198 [error] [Extension Host] F4FE8D270A54DEDFDECCBB523100F33B !== B4692AFB3BC93E9022B2D7FEBA62943D
2024-01-17 19:17:03.225 [error] [Extension Host] B4692AFB3BC93E9022B2D7FEBA62943D !== 23837A705411C28AA083AC426ADFBB65
2024-01-17 19:17:33.251 [error] [Extension Host] 23837A705411C28AA083AC426ADFBB65 !== 6DD41B0A009C49609210F9B3D8D052BE
2024-01-17 19:18:03.277 [error] [Extension Host] 6DD41B0A009C49609210F9B3D8D052BE !== D988F8B6D4B451AA0AB8D690989755A1
2024-01-17 19:18:33.305 [error] [Extension Host] D988F8B6D4B451AA0AB8D690989755A1 !== 5A03F623999BB3A3D67F784E0B1F7F2C
2024-01-17 19:19:03.331 [error] [Extension Host] 5A03F623999BB3A3D67F784E0B1F7F2C !== AFBF387286D19C2712BE8127AC1C92F0
2024-01-17 19:19:33.358 [error] [Extension Host] AFBF387286D19C2712BE8127AC1C92F0 !== 078CC0892FDA23274F7913B504AA4D65
2024-01-17 19:20:03.384 [error] [Extension Host] 078CC0892FDA23274F7913B504AA4D65 !== 582B9B223D5D950F06C3B07E20866769
2024-01-17 19:20:33.411 [error] [Extension Host] 582B9B223D5D950F06C3B07E20866769 !== 2B3D3D52600A1432C864091E451F0555
2024-01-17 19:21:03.436 [error] [Extension Host] 2B3D3D52600A1432C864091E451F0555 !== AF2B29E8F2D7DEA06ED9C87D1E06788C
2024-01-17 19:21:33.462 [error] [Extension Host] AF2B29E8F2D7DEA06ED9C87D1E06788C !== 8A39E2568F1AD3AA213793A3302E9FC6
2024-01-17 19:22:03.488 [error] [Extension Host] 8A39E2568F1AD3AA213793A3302E9FC6 !== AEF2D1D87FEC3170324C2287CD8E69C9
2024-01-17 19:22:33.515 [error] [Extension Host] AEF2D1D87FEC3170324C2287CD8E69C9 !== 7F218F438C2528C44517A18C234D0DC1
2024-01-17 19:23:03.541 [error] [Extension Host] 7F218F438C2528C44517A18C234D0DC1 !== 4FF85065671374822FBEF8C6B666C61F
2024-01-17 19:23:33.567 [error] [Extension Host] 4FF85065671374822FBEF8C6B666C61F !== 2F89D6B1FAB67BAA1D6C789000E9C7A3
2024-01-17 19:24:03.594 [error] [Extension Host] 2F89D6B1FAB67BAA1D6C789000E9C7A3 !== 2E2E88F9373A3030DD798B8379CBE773
2024-01-17 19:24:33.620 [error] [Extension Host] 2E2E88F9373A3030DD798B8379CBE773 !== A2CE3E5B8A5F0AFAAF53DF509D830679
2024-01-17 19:25:03.646 [error] [Extension Host] A2CE3E5B8A5F0AFAAF53DF509D830679 !== F101BE499684E9850D9C0A3CDBA01CBD
2024-01-17 19:25:33.672 [error] [Extension Host] F101BE499684E9850D9C0A3CDBA01CBD !== 669BA2CDF73766F8F777EF5B24A6CF6E
2024-01-17 19:26:03.699 [error] [Extension Host] 669BA2CDF73766F8F777EF5B24A6CF6E !== 3ED096C6AAF5CBC9BB84A685601C99E7
2024-01-17 19:26:33.724 [error] [Extension Host] 3ED096C6AAF5CBC9BB84A685601C99E7 !== 08148616A710AD005474C04B8A5CBB16
2024-01-17 19:27:03.751 [error] [Extension Host] 08148616A710AD005474C04B8A5CBB16 !== B7D42A9A085C2DD9D05D62E7E6F1B593
2024-01-17 19:27:33.777 [error] [Extension Host] B7D42A9A085C2DD9D05D62E7E6F1B593 !== 3125B46932E4C589E1DA81DE52B28915
2024-01-17 19:28:03.804 [error] [Extension Host] 3125B46932E4C589E1DA81DE52B28915 !== A99156C5886EA20812AC600F4B330D46
2024-01-17 19:28:33.831 [error] [Extension Host] A99156C5886EA20812AC600F4B330D46 !== 8655B99E7185497D9FAE82FDFFF4D82B
2024-01-17 19:29:03.857 [error] [Extension Host] 8655B99E7185497D9FAE82FDFFF4D82B !== 1702EF2DA90BD1AEBC198EF196598457
2024-01-17 19:29:33.883 [error] [Extension Host] 1702EF2DA90BD1AEBC198EF196598457 !== 823EEA2B462450BD00426024AA6F71EA
2024-01-17 19:30:03.909 [error] [Extension Host] 823EEA2B462450BD00426024AA6F71EA !== 602CCB11863349990720AA10CA0A4C5E
2024-01-17 19:30:33.935 [error] [Extension Host] 602CCB11863349990720AA10CA0A4C5E !== 399CFD3DB76DE7E5FC7D8B6C8F2CBE8A
2024-01-17 19:31:03.962 [error] [Extension Host] 399CFD3DB76DE7E5FC7D8B6C8F2CBE8A !== 866BE77B7D75CB68681A400DEF92A464
2024-01-17 19:31:33.988 [error] [Extension Host] 866BE77B7D75CB68681A400DEF92A464 !== EBCFDEC38E3AFBE4BB88EF58A253E3E8
2024-01-17 19:32:04.014 [error] [Extension Host] EBCFDEC38E3AFBE4BB88EF58A253E3E8 !== 2D714A34C4AE6AA3B1C33EA411BC10CD
2024-01-17 19:32:34.041 [error] [Extension Host] 2D714A34C4AE6AA3B1C33EA411BC10CD !== BAB7B95AFCE03DF202DED412759E6664
2024-01-17 19:33:04.067 [error] [Extension Host] BAB7B95AFCE03DF202DED412759E6664 !== 84D193EDE6FAC66FE48E05FEBFA1C360
2024-01-17 19:33:34.094 [error] [Extension Host] 84D193EDE6FAC66FE48E05FEBFA1C360 !== 7EDC1271DCB4C74FA546153BE78389A0
2024-01-17 19:34:04.121 [error] [Extension Host] 7EDC1271DCB4C74FA546153BE78389A0 !== 13737981641E6A914FBAB849F39B296F
2024-01-17 19:34:34.147 [error] [Extension Host] 13737981641E6A914FBAB849F39B296F !== 5B5F1B0178CFEBFA46ECA804618B0705
2024-01-17 19:35:04.173 [error] [Extension Host] 5B5F1B0178CFEBFA46ECA804618B0705 !== 2931E7CF684889A2843443835D835D1A
2024-01-17 19:35:34.197 [error] [Extension Host] 2931E7CF684889A2843443835D835D1A !== EA3D412777C0AB6B19338FF38C576464
2024-01-17 19:36:04.222 [error] [Extension Host] EA3D412777C0AB6B19338FF38C576464 !== CF1A9C7F8A5861A4AE1CBA478EA6DEE9
2024-01-17 19:36:34.249 [error] [Extension Host] CF1A9C7F8A5861A4AE1CBA478EA6DEE9 !== E624AB261D2CD664A1CB0FDFC46DC565
2024-01-17 19:37:04.275 [error] [Extension Host] E624AB261D2CD664A1CB0FDFC46DC565 !== 4B1C2575452643EA87E9468A6D7FB7E7
