2024-01-17 19:42:47.578 [warning] Via 'product.json#extensionEnabledApiProposals' extension 'ms-python.python' wants API proposal 'registerIssueDataProvider' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2024-01-17 19:42:48.153 [info] Started local extension host with pid 15076.
2024-01-17 19:42:48.233 [warning] [stylelint.vscode-stylelint]: Cannot register 'stylelint.enable'. This property is already registered.
2024-01-17 19:42:48.233 [warning] [stylelint.vscode-stylelint]: Cannot register 'stylelint.config'. This property is already registered.
2024-01-17 19:42:49.137 [error] Unable to write to User Settings because appworks.materialSources is not a registered configuration.: CodeExpectedError: Unable to write to User Settings because appworks.materialSources is not a registered configuration.
    at l.y (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:55124)
    at l.E (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:57641)
    at l.n (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52237)
    at Object.factory (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52137)
    at T.h (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17315)
    at vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17226
    at new Promise (<anonymous>)
    at T.queue (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:17164)
    at l.writeConfiguration (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:52106)
    at F.Hb (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:77103)
    at async Promise.all (index 0)
    at async Object._ [as settled] (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:149:23305)
    at async F.updateValue (vscode-file://vscode-app/var/lib/snapd/snap/code/148/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:2128:65070)
2024-01-17 19:42:50.909 [info] [perf] Render performance baseline is 150ms
2024-01-17 19:42:53.187 [error] [Extension Host] [ERROR] [default] [2024-01-17T17:42:53.057Z] Extension activation failed: "Thank you for using GitHub Copilot. Your subscription has ended. You are currently logged in as cyb1ove."
2024-01-17 20:45:23.558 [error] [Extension Host] grep: /usr/bin/groupmems: Permission denied
grep: /usr/bin/umount.nfs4: Permission denied
grep: /usr/bin/mount.nfs: Permission denied
grep: /usr/bin/umount.nfs: Permission denied
grep: /usr/bin/mount.nfs4: Permission denied
grep: /usr/bin/floorp: No such file or directory
2024-01-17 20:46:11.479 [error] [Extension Host] 0E5E93B5C756AA850722A624D00F1545 !== 54E668F601F1D855902DD6E9D551E753
2024-01-17 20:46:41.483 [error] [Extension Host] 54E668F601F1D855902DD6E9D551E753 !== 1AEFCCA9211493E851875EB60E4F80B2
2024-01-17 20:47:11.509 [error] [Extension Host] 1AEFCCA9211493E851875EB60E4F80B2 !== 6927E9E9448CD82232E0EC4726C5B2E7
2024-01-17 20:47:41.534 [error] [Extension Host] 6927E9E9448CD82232E0EC4726C5B2E7 !== 924D5D37D2CF3DB95160BF465A73556F
2024-01-17 20:48:11.562 [error] [Extension Host] 924D5D37D2CF3DB95160BF465A73556F !== B8A1F52500A8E1404051C94F9FEAE5C6
2024-01-17 20:48:41.587 [error] [Extension Host] B8A1F52500A8E1404051C94F9FEAE5C6 !== BC32C26B45749E682A6FF7A5489A2604
2024-01-17 20:49:11.614 [error] [Extension Host] BC32C26B45749E682A6FF7A5489A2604 !== D0A921D0F397D7C1E6BB700D61AF0252
2024-01-17 20:49:41.639 [error] [Extension Host] D0A921D0F397D7C1E6BB700D61AF0252 !== A3D981E555518B7EC90F6039DF09812E
2024-01-17 20:50:11.669 [error] [Extension Host] A3D981E555518B7EC90F6039DF09812E !== 2B81BA0F88549880B2E3A92CA0F2C90A
2024-01-17 20:50:41.690 [error] [Extension Host] 2B81BA0F88549880B2E3A92CA0F2C90A !== 37ACF4D266F29C7AEA1635659D2660C4
2024-01-17 20:51:11.715 [error] [Extension Host] 37ACF4D266F29C7AEA1635659D2660C4 !== C83C4CBD396DB9D5F3D30E94E0E34B70
2024-01-17 20:51:41.740 [error] [Extension Host] C83C4CBD396DB9D5F3D30E94E0E34B70 !== 0E0F4976B032D40BDD62FDE363737B72
2024-01-17 20:52:11.766 [error] [Extension Host] 0E0F4976B032D40BDD62FDE363737B72 !== DCA77410C553B820AEAE26854393739C
2024-01-17 20:52:41.790 [error] [Extension Host] DCA77410C553B820AEAE26854393739C !== 41F7C3A03A7A064B37D494C58AF246EB
2024-01-17 20:53:11.816 [error] [Extension Host] 41F7C3A03A7A064B37D494C58AF246EB !== F821299C7A2DEDC379CAEC838874A317
2024-01-17 20:53:41.841 [error] [Extension Host] F821299C7A2DEDC379CAEC838874A317 !== 0071BD2CCD24CEC75BA1ABF9F65711D6
2024-01-17 20:54:11.867 [error] [Extension Host] 0071BD2CCD24CEC75BA1ABF9F65711D6 !== DE44865F9309DF810DA032BEFB6F35E3
2024-01-17 20:54:41.892 [error] [Extension Host] DE44865F9309DF810DA032BEFB6F35E3 !== 81D13D832785C0087774E12618546E50
2024-01-17 20:55:11.917 [error] [Extension Host] 81D13D832785C0087774E12618546E50 !== 9FCC6051539CED36BF3CBB59BD9EDF75
2024-01-17 20:55:41.941 [error] [Extension Host] 9FCC6051539CED36BF3CBB59BD9EDF75 !== 3B02F500741E0A5AA8EBD67D5B39B5C1
2024-01-17 20:56:11.967 [error] [Extension Host] 3B02F500741E0A5AA8EBD67D5B39B5C1 !== F2515274D963BD70CCACCE40B13C1E08
2024-01-17 20:56:41.992 [error] [Extension Host] F2515274D963BD70CCACCE40B13C1E08 !== 7782F94F35D270718E6F4F06C7C49F73
2024-01-17 20:57:12.018 [error] [Extension Host] 7782F94F35D270718E6F4F06C7C49F73 !== 6BAD5BC528B93254E1B61D984198CF96
2024-01-17 20:57:42.044 [error] [Extension Host] 6BAD5BC528B93254E1B61D984198CF96 !== EE87D114187CFF2CBCEAC7E4411C757A
2024-01-17 20:58:12.070 [error] [Extension Host] EE87D114187CFF2CBCEAC7E4411C757A !== FF214E0158FCF4E9705050F84A49B670
2024-01-17 20:58:42.095 [error] [Extension Host] FF214E0158FCF4E9705050F84A49B670 !== 1B3C958157618F2017B4D99D7381D502
2024-01-17 20:59:12.120 [error] [Extension Host] 1B3C958157618F2017B4D99D7381D502 !== 924DE3CBB43B8E7869B096B14D874F63
2024-01-17 20:59:42.145 [error] [Extension Host] 924DE3CBB43B8E7869B096B14D874F63 !== 8A4BFCA2864F9E6836897DABC5AA7CBD
2024-01-17 21:00:12.172 [error] [Extension Host] 8A4BFCA2864F9E6836897DABC5AA7CBD !== 5F367EF2D0CE55AD6FE7A7BE1298DDF4
2024-01-17 21:00:42.197 [error] [Extension Host] 5F367EF2D0CE55AD6FE7A7BE1298DDF4 !== F830DFD9D4D8E1A7D475A693E793622A
2024-01-17 21:01:12.223 [error] [Extension Host] F830DFD9D4D8E1A7D475A693E793622A !== 10A36E81F01C08088B5DA922E4BA135C
2024-01-17 21:01:42.248 [error] [Extension Host] 10A36E81F01C08088B5DA922E4BA135C !== 26366F6EFF1B48B6D0F9D4CFA3C24121
2024-01-17 21:02:15.576 [error] [Extension Host] 26366F6EFF1B48B6D0F9D4CFA3C24121 !== E829CB1EA3FF08265038668911470B02
2024-01-18 03:19:20.438 [error] [Extension Host] E829CB1EA3FF08265038668911470B02 !== 0D9C6F90A7A3112C3F69C6F8A6BEE5E1
2024-01-18 03:19:50.461 [error] [Extension Host] 0D9C6F90A7A3112C3F69C6F8A6BEE5E1 !== C44C59A96A01A8CF4A66F3D0F472C9B4
2024-01-18 03:20:20.483 [error] [Extension Host] C44C59A96A01A8CF4A66F3D0F472C9B4 !== A1EC6ADB1776DD99D12D9DC591EEFADC
2024-01-18 03:20:50.509 [error] [Extension Host] A1EC6ADB1776DD99D12D9DC591EEFADC !== A31F9CB05D8DA6AB4E7C2C5C1A9CC2B4
2024-01-18 03:21:20.534 [error] [Extension Host] A31F9CB05D8DA6AB4E7C2C5C1A9CC2B4 !== 0C7C21240A9143CBFADE733E16AF76C7
2024-01-18 03:21:50.559 [error] [Extension Host] 0C7C21240A9143CBFADE733E16AF76C7 !== 8540042932E245FE905AED6858BB9DB9
2024-01-18 03:22:20.585 [error] [Extension Host] 8540042932E245FE905AED6858BB9DB9 !== A52CDD7FC439DF3351B3A87B2AAB67FC
2024-01-18 03:22:50.610 [error] [Extension Host] A52CDD7FC439DF3351B3A87B2AAB67FC !== 473DFA3A3391AA09EE13A55CD2780D9A
2024-01-18 03:23:20.635 [error] [Extension Host] 473DFA3A3391AA09EE13A55CD2780D9A !== 4004DAF644D809EBAA32A929DC7715CF
2024-01-18 03:23:50.659 [error] [Extension Host] 4004DAF644D809EBAA32A929DC7715CF !== BF397D9AA590CE69223317A04758DF65
2024-01-18 03:24:20.685 [error] [Extension Host] BF397D9AA590CE69223317A04758DF65 !== 57A61A05EC5C48AD494ABC96A5D2AF16
2024-01-18 03:24:50.710 [error] [Extension Host] 57A61A05EC5C48AD494ABC96A5D2AF16 !== 4F6140E714ABF565A1E606E4C7B93461
2024-01-18 03:25:20.738 [error] [Extension Host] 4F6140E714ABF565A1E606E4C7B93461 !== 92C37ACF33E7263944C33668D27CA69A
2024-01-18 03:25:50.763 [error] [Extension Host] 92C37ACF33E7263944C33668D27CA69A !== DB519F623EFAE7B337D69E9610C5AB13
