2024-01-17 18:51:57.816 [info] Log level: Info
2024-01-17 18:51:57.816 [info] Validating found git in: "git"
2024-01-17 18:51:57.816 [info] Using git "2.43.0" from "git"
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:57.816 [info] > git rev-parse --show-toplevel [2ms]
2024-01-17 18:51:59.721 [info] > git rev-parse --show-toplevel [129ms]
2024-01-17 18:51:59.776 [info] > git rev-parse --show-toplevel [5ms]
2024-01-17 18:51:59.892 [info] > git rev-parse --show-toplevel [46ms]
2024-01-17 18:52:00.154 [info] > git rev-parse --show-toplevel [68ms]
