2024-01-17 19:02:37.357 [info] Log level: Info
2024-01-17 19:02:37.357 [info] Validating found git in: "git"
2024-01-17 19:02:37.357 [info] Using git "2.43.0" from "git"
2024-01-17 19:02:37.357 [info] > git rev-parse --show-toplevel [9ms]
2024-01-17 19:02:37.361 [info] > git rev-parse --show-toplevel [8ms]
2024-01-17 19:02:38.584 [info] > git rev-parse --show-toplevel [1214ms]
2024-01-17 19:02:38.938 [info] > git rev-parse --show-toplevel [36ms]
2024-01-17 19:02:39.001 [info] > git rev-parse --show-toplevel [11ms]
2024-01-17 19:02:39.104 [info] > git rev-parse --show-toplevel [12ms]
2024-01-17 19:02:39.340 [info] > git rev-parse --show-toplevel [71ms]
2024-01-17 19:02:39.465 [info] > git rev-parse --show-toplevel [19ms]
